Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
07/11/16,360,363,367,352,10081000
07/08/16,356,351,360,349,8783000
07/07/16,367,356,368,355,10972000
07/06/16,380,375,381,371,7897000
07/05/16,382,389,391,380,9328000
07/04/16,374,386,386,369,7294000
07/01/16,370,375,377,368,5299000
06/30/16,381,372,384,372,8770000
06/29/16,362,371,380,361,9242000
06/28/16,350,352,356,345,6185000
06/27/16,364,357,364,351,4797000
06/24/16,399,357,399,351,12790000
06/23/16,388,395,396,385,6905000
06/22/16,388,395,396,385,2751000
06/21/16,374,383,385,372,4340000
06/20/16,380,382,384,378,4973000
06/17/16,374,370,374,366,9479000
06/16/16,379,367,382,365,8892000
06/15/16,375,381,389,373,6668000
06/14/16,383,378,386,373,11367000
06/13/16,402,385,405,384,10313000
06/10/16,418,415,418,410,5604000
06/09/16,417,418,421,414,5163000
06/08/16,424,421,425,412,7509000
06/07/16,415,421,424,412,10030000
06/06/16,398,401,402,394,6340000
06/03/16,402,405,406,399,6876000
06/02/16,407,399,409,396,5801000
06/01/16,410,409,414,406,6120000
05/31/16,403,417,420,402,14423000
05/30/16,400,403,404,395,4428000
05/27/16,395,395,397,392,4306000
05/26/16,390,393,397,390,5268000
05/25/16,396,393,397,391,6121000
05/24/16,384,388,392,383,7316000
05/23/16,380,386,388,374,9105000
05/20/16,367,380,382,365,7691000
05/19/16,373,369,375,367,5430000
05/18/16,363,370,372,361,6966000
05/17/16,362,366,367,360,8104000
05/16/16,366,364,373,363,7819000
05/13/16,376,366,378,362,13119000
05/12/16,368,368,370,363,5734000
05/11/16,372,370,376,369,5979000
05/10/16,355,371,372,355,9015000
05/09/16,358,355,359,353,4801000
05/06/16,354,356,358,350,5437000
05/02/16,352,354,360,350,7819000
04/28/16,389,372,393,371,10411000
04/27/16,389,394,395,385,7258000
04/26/16,389,386,391,376,7863000
04/25/16,396,394,398,390,7442000
04/22/16,382,392,393,382,6888000
04/21/16,383,387,388,380,7831000
04/20/16,376,373,378,371,5176000
04/19/16,365,370,371,363,7141000
04/18/16,348,353,358,348,7800000
04/15/16,367,363,370,361,8540000
04/14/16,368,370,373,366,9090000
04/13/16,347,360,362,347,9470000
04/12/16,339,347,350,339,9415000
04/11/16,335,334,336,326,7414000
04/08/16,321,336,341,320,12541000
04/07/16,329,326,335,324,10698000
04/06/16,340,327,340,322,23789000
04/05/16,360,348,361,345,9591000
04/04/16,355,363,366,354,6595000
04/01/16,372,360,372,359,10801000
03/31/16,374,375,381,371,7711000
03/30/16,377,374,378,372,8762000
03/29/16,377,382,383,376,6208000
03/28/16,380,379,381,374,5730000
03/25/16,369,374,377,368,6409000
03/24/16,370,366,371,364,5602000
03/23/16,375,371,376,368,8724000
03/22/16,371,375,377,370,9314000
03/18/16,365,366,369,364,7876000
03/17/16,370,365,375,364,11889000
03/16/16,368,370,376,366,6563000
03/15/16,378,373,382,372,10888000
03/14/16,386,386,390,381,7839000
03/11/16,367,380,381,366,10703000
03/10/16,366,373,375,360,9907000
03/09/16,359,361,361,352,12330000
03/08/16,376,366,376,362,10613000
03/07/16,380,377,382,375,9634000
03/04/16,382,381,390,380,13354000
03/03/16,369,385,386,369,16818000
03/02/16,370,368,372,367,20016000
03/01/16,364,359,365,351,19444000
02/29/16,377,369,384,368,15566000
02/26/16,380,368,388,366,13377000
02/25/16,370,376,378,352,17497000
02/24/16,377,375,383,371,14918000
02/23/16,397,391,403,390,9816000
02/22/16,394,396,403,390,8612000
02/19/16,397,399,402,392,9560000
02/18/16,404,405,410,400,13175000
02/17/16,389,388,395,381,10492000
02/16/16,388,393,400,381,15166000
02/15/16,387,393,397,373,11635000
02/12/16,373,360,382,357,34724000
02/10/16,413,397,414,385,24890000
02/09/16,430,415,432,413,17178000
02/08/16,438,452,455,432,13699000
02/05/16,440,446,448,427,13841000
02/04/16,457,453,462,444,19223000
02/03/16,480,450,481,443,37897000
02/02/16,529,493,543,486,34353000
02/01/16,539,538,542,530,12435000
01/29/16,498,519,520,496,13747000
01/28/16,494,497,502,489,11000000
01/27/16,484,493,496,482,9742000
01/26/16,481,476,481,474,7084000
01/25/16,488,491,495,482,8304000
01/22/16,470,483,484,463,13206000
01/21/16,463,454,477,453,12378000
01/20/16,484,464,486,464,10068000
01/19/16,473,481,482,471,9359000
01/18/16,469,474,477,462,11833000
01/15/16,496,484,502,481,14164000
01/14/16,488,488,493,481,13176000
01/13/16,488,502,503,488,10245000
01/12/16,487,480,491,478,10407000
01/08/16,483,496,502,479,14743000
01/07/16,506,491,508,487,16218000
01/06/16,508,512,515,505,12581000
01/05/16,511,504,513,499,14437000
01/04/16,541,518,543,515,11957000
12/30/15,538,542,545,537,5077000
12/29/15,533,537,538,528,6467000
12/28/15,525,535,536,525,5426000
12/25/15,522,521,527,520,3873000
12/24/15,531,523,540,522,8715000
12/22/15,520,521,523,517,4416000
12/21/15,517,524,524,509,8342000
12/18/15,533,523,542,523,12133000
12/17/15,530,535,538,526,11449000
12/16/15,525,523,528,518,8584000
12/15/15,528,513,529,512,10369000
12/14/15,521,531,532,513,11876000
12/11/15,530,533,534,526,10743000
12/10/15,523,520,527,519,6860000
12/09/15,524,524,534,519,8152000
12/08/15,536,525,537,524,8707000
12/07/15,528,534,535,523,7410000
