Date,Open,Closing Price,Daily High,Daily Low,Volume (Pcs.)
07/11/16,351.7,361.3,364,349.6,7175000
07/08/16,348.9,343.7,354.3,343.7,9268000
07/07/16,350.7,348.7,356.1,347.1,11098000
07/06/16,360,355.8,360.8,349.4,16439000
07/05/16,380.4,376.9,381.7,374.3,6726000
07/04/16,370,380.5,380.8,366.6,10004000
07/01/16,374,371.4,379.5,370.1,11376000
06/30/16,374.1,374,379.7,369,18501000
06/29/16,362,366.1,368.4,357.5,10636000
06/28/16,355.5,355,362.4,346.4,24186000
06/27/16,385.9,364.2,387.3,355,21421000
06/24/16,428.3,378.9,431.3,375,14686000
06/23/16,415.8,425.6,426,411.3,5985000
06/22/16,415.8,419.4,420.4,411.3,1655000
06/21/16,408.1,415.2,416.5,400.7,8465000
06/20/16,416.1,416.2,418.6,412.8,13075000
06/17/16,394.8,400.1,405.4,394.2,14436000
06/16/16,406.1,389.8,409.2,388,9449000
06/15/16,394,405.1,408.9,393,9737000
06/14/16,400.7,399.1,406.6,394.7,12404000
06/13/16,415.7,407,416.3,407,10411000
06/10/16,427,427.4,430,423.3,18946000
06/09/16,426.6,434.3,437.2,426.4,13182000
06/08/16,425.4,433.6,433.7,422.8,8637000
06/07/16,421.1,426.8,430.6,419.7,12065000
06/06/16,408.2,416.5,416.6,406,14207000
06/03/16,426.6,418,427.6,411.4,20207000
06/02/16,439.8,432.7,443.5,429.8,15312000
06/01/16,447,447.8,455.9,441.7,15056000
05/31/16,435.7,448,448,430.8,16997000
05/30/16,433.2,434.5,437.8,430.2,9051000
05/27/16,421,428.6,430.3,420.1,13402000
05/26/16,420,415.3,423.3,413.5,9538000
05/25/16,412,415.3,415.7,408.5,8622000
05/24/16,413.7,405.5,414,403.5,10489000
05/23/16,414.8,417.4,419.2,408.1,7876000
05/20/16,400.8,419,421.4,400.7,17271000
05/19/16,400.8,397.2,404,395.1,7036000
05/18/16,389.1,394.5,396.3,385.1,9370000
05/17/16,382.9,389.1,391.4,381.1,10845000
05/16/16,380.4,382.9,387.5,375.6,8640000
05/13/16,397.6,381,399,380.9,12196000
05/12/16,386,389.9,391.5,381,9059000
05/11/16,394.4,389.9,400,389.4,10313000
05/10/16,381.1,388.4,388.8,374.3,13397000
05/09/16,383.3,385.1,389.2,380.5,8249000
05/06/16,384.2,380.9,386.6,377.6,12635000
05/02/16,371.9,384.1,392,371.5,21040000
04/28/16,414,390.8,421,390.1,16837000
04/27/16,416,406,416.8,403.5,11694000
04/26/16,423,413.2,423,410,11484000
04/25/16,425,422.8,429.4,419.1,13259000
04/22/16,413,420,420.4,411.5,10707000
04/21/16,418,421.7,422.5,412.2,10341000
04/20/16,412.2,409,417.8,406.6,11149000
04/19/16,398.2,406.3,407,393.2,12981000
04/18/16,381,390.4,394.7,380.8,17565000
04/15/16,413.1,393.5,414,391.6,23905000
04/14/16,416.5,419,419.8,411.8,10515000
04/13/16,398.9,406.5,408.4,395.8,9290000
04/12/16,375.5,393.5,396.6,373.8,9834000
04/11/16,375.5,379.6,381.2,370.8,10374000
04/08/16,364.5,383.5,388.8,363.4,12473000
04/07/16,368,369.5,375.9,365.4,8993000
04/06/16,369.8,370.8,376.9,367.2,12420000
04/05/16,382,372.3,383.7,367.3,17557000
04/04/16,390,387.7,395,384.8,12674000
04/01/16,410.6,394.5,411.8,393.2,14406000
03/31/16,413.2,416.6,422,410.4,13901000
03/30/16,428.5,410.5,432.2,410,11742000
03/29/16,422.7,429.2,430,420.5,6638000
03/28/16,422.8,424,431.8,419.6,8573000
03/25/16,405.1,417,417.7,403.1,8156000
03/24/16,416.9,406.5,418,406,12158000
03/23/16,424.2,419.5,424.9,418,6746000
03/22/16,421.7,423.3,432.3,417.5,11957000
03/18/16,419.3,412.2,422.9,406.9,13218000
03/17/16,425.3,423.8,436.6,417.7,13941000
03/16/16,421.7,417.3,426.3,414.6,10130000
03/15/16,427,424,430.8,421.3,9464000
03/14/16,419.3,426.5,427.7,416,11363000
03/11/16,404.4,413,415.7,400.6,15989000
03/10/16,405.5,410.8,412.2,402.3,9904000
03/09/16,411.8,400.5,411.8,398.2,15605000
03/08/16,419.9,418.7,427,413.4,21911000
03/07/16,424.6,413.3,431.5,413.1,19351000
03/04/16,424.1,425.8,436.4,420.6,16524000
03/03/16,411.4,424.4,428.9,410.2,11882000
03/02/16,407.7,411.4,413.5,403.4,19174000
03/01/16,410.7,396.1,412.5,386.2,21720000
02/29/16,427.3,413.1,428,413,11924000
02/26/16,420,418.9,424.3,415.3,9623000
02/25/16,411,414.9,417,407.7,12008000
02/24/16,404.1,410.4,412.9,400.6,9222000
02/23/16,416.5,410.2,428,409.2,11742000
02/22/16,407,414.2,417.6,404.6,10073000
02/19/16,417.6,408.8,418,402.8,14824000
02/18/16,415,421.1,429.1,410.7,26436000
02/17/16,394.9,391,408.8,385.8,22104000
02/16/16,380.6,392,402.3,376.1,23754000
02/15/16,372,382.3,386.3,368.4,14197000
02/12/16,364.2,356.3,373,355.8,23489000
02/10/16,387.5,372.6,389.1,366.1,23161000
02/09/16,404.4,388.7,405,387.1,16913000
02/08/16,410,420.2,423.4,406,12946000
02/05/16,419.1,419.2,428.7,416.2,23796000
02/04/16,424.2,425.7,431.9,420.1,27991000
02/03/16,444.6,428.4,444.7,425.6,24728000
02/02/16,470,453.7,470.1,452.3,26766000
02/01/16,525.3,475.2,526.9,471.7,34294000
01/29/16,500.2,497.3,502.8,472,31713000
01/28/16,515.8,509.4,516.5,508.1,12914000
01/27/16,516.7,517.6,522.9,513,14491000
01/26/16,518.1,506.8,518.6,503.5,12418000
01/25/16,534.8,525.7,538.7,523.4,9456000
01/22/16,521,527.2,528.2,514.4,12181000
01/21/16,513.7,500.3,526.4,500.3,15781000
01/20/16,540,514.2,540.5,514.2,15928000
01/19/16,540.2,544.8,547.2,534.6,13847000
01/18/16,542.6,542.9,545.9,533.8,19188000
01/15/16,575.9,558,581.7,555.2,11220000
01/14/16,567.2,569,570.9,556.6,11244000
01/13/16,574.1,583,586.9,570.4,9136000
01/12/16,574.8,564.1,585.3,562,11569000
01/08/16,570,584.5,594.5,569.6,14409000
01/07/16,585.1,574.2,590,573.1,12437000
01/06/16,602,588.7,607.1,585.8,14273000
01/05/16,599,600.9,608.6,594.2,8498000
01/04/16,602.7,601.4,614.4,594.1,10497000
12/30/15,612.7,606.9,619,606,11548000
12/29/15,611.5,608.3,611.9,601.2,7650000
12/28/15,597.4,613.5,616,597.3,8560000
12/25/15,597.4,598,605.8,593.8,7484000
12/24/15,608.6,599.6,612.4,599.2,8278000
12/22/15,616.3,607.2,619.8,602,14713000
12/21/15,618.5,626.3,626.5,610.9,12243000
12/18/15,649.9,624.1,654.9,622.4,21574000
12/17/15,648.5,650.7,655.4,645.1,12733000
12/16/15,648.5,638.5,650.7,636.2,13908000
12/15/15,652.3,632.7,652.3,629.4,14934000
12/14/15,652.8,652.3,655.6,636.3,12580000
12/11/15,649.1,657.8,662,649.1,12783000
12/10/15,642.7,648.7,654.9,640.5,11943000
12/09/15,645.9,649.1,659.3,643.8,14583000
12/08/15,656.7,647.9,657.7,640.2,13594000
12/07/15,654.5,658,664,650.7,15606000
